query,truth
Is Zipcode 95822 adjacent to and northwest of Zipcode 95824?,no
Is Zipcode 81120 adjacent to and south of Zipcode 81154?,no
Is Zipcode 90058 adjacent to and northeast of Zipcode 90001?,yes
Is Zipcode 54103 adjacent to and west of Zipcode 54125?,yes
Is Zipcode 98045 adjacent to and east of Zipcode 98038?,yes
Is Zipcode 38828 adjacent to and west of Zipcode 38866?,yes
Is Zipcode 73743 southwest of Zipcode 73753?,no
Is Jefferson Davis Parish Louisiana east of Zipcode 70607?,no
Is Zipcode 35023 west of Zipcode 35005?,no
Is Zipcode 29056 south of Zipcode 29560?,no
Is Zipcode 71103 adjacent to and northwest of Zipcode 71104?,no
Is Zipcode 28624 adjacent to and east of Zipcode 28645?,no
Is Zipcode 42376 adjacent to and southeast of Zipcode 42301?,yes
Is Zipcode 12767 adjacent to and southwest of Zipcode 12776?,yes
Is Zipcode 22572 adjacent to and northwest of Zipcode 22460?,yes
Is Zipcode 08097 adjacent to and west of Zipcode 08096?,no
Is Lincoln County West Virginia adjacent to and southwest of Zipcode 25309?,yes
Is Marquette County Wisconsin east of The State of Minnesota?,no
Is Zipcode 76437 southwest of Zipcode 76429?,yes
Is Zipcode 16860 adjacent to and north of Zipcode 16840?,no
Is Zipcode 62526 adjacent to and south of Zipcode 62535?,no
Is Zipcode 56578 adjacent to and southeast of Zipcode 56521?,no
Is Zipcode 00638 adjacent to and south of Zipcode 00674?,yes
Is Nelson County Kentucky adjacent to and east of Zipcode 40150?,yes
Is Kiowa County Colorado adjacent to and north of Otero County Colorado?,no
Is Zipcode 06076 adjacent to and northeast of Zipcode 06279?,no
Is Hillsborough County Florida southeast of Zipcode 34652?,yes
Is Zipcode 50049 northeast of Zipcode 50123?,yes
Is Los Angeles County California north of Zipcode 92882?,no
Is Zipcode 32640 southeast of Zipcode 32044?,no
Is Zipcode 07666 east of Zipcode 07652?,no
Is Zipcode 37757 adjacent to and north of Zipcode 37769?,yes
Is Zipcode 59301 adjacent to and southeast of Zipcode 59338?,no
Is Montgomery County Maryland adjacent to and north of Zipcode 20015?,no
Is Zipcode 36003 north of Zipcode 36785?,no
Is Saint Clair County Illinois adjacent to and northeast of Zipcode 63111?,no
Is Zipcode 71028 adjacent to and east of Zipcode 71024?,yes
Is Zipcode 50250 adjacent to and south of Zipcode 50233?,no
Is Zipcode 74469 adjacent to and north of Zipcode 74455?,yes
Is Zipcode 13825 adjacent to and northeast of Zipcode 13776?,no
Is Mingo County West Virginia southwest of Boone County West Virginia?,yes
Is Zipcode 57501 south of Zipcode 57455?,no
Is Zipcode 58653 adjacent to and north of Zipcode 57755?,no
Is Zipcode 99204 adjacent to and south of Zipcode 99201?,no
Is Herkimer County New York north of Zipcode 12032?,no
Is Zipcode 98351 adjacent to and northwest of Zipcode 98303?,yes
Is Zipcode 43616 east of Zipcode 43608?,yes
Is Zipcode 59061 adjacent to and southwest of Zipcode 59069?,yes
Is Zipcode 92618 northwest of Zipcode 92692?,yes
Is Zipcode 54435 adjacent to and southwest of Zipcode 54463?,yes
Is Zipcode 65081 adjacent to and west of Zipcode 65050?,no
Is Fulton County Georgia adjacent to and southeast of Zipcode 30126?,no
Is Zipcode 95946 adjacent to and south of Zipcode 95959?,no
Is Zipcode 67491 adjacent to and northwest of Zipcode 67546?,yes
Is Zipcode 57257 adjacent to and northeast of Zipcode 57266?,no
Is Zipcode 95472 adjacent to and southeast of Zipcode 95444?,no
Is Zipcode 07104 adjacent to and northeast of Zipcode 07103?,yes
Is Zipcode 30183 adjacent to and southwest of Zipcode 30143?,yes
Is Zipcode 62960 adjacent to and southwest of Zipcode 62938?,yes
Is Alamance County North Carolina adjacent to and northwest of Zipcode 27243?,no
Is Zipcode 78577 adjacent to and south of Zipcode 78589?,no
Is Westmoreland County Pennsylvania southeast of Zipcode 15055?,no
Is Union County Tennessee northwest of Zipcode 37871?,yes
Is Winston County Alabama adjacent to and southwest of Zipcode 35650?,no
Is Zipcode 68419 adjacent to and north of Zipcode 68301?,yes
Is Cullman County Alabama west of Zipcode 35951?,yes
Is Warren County Tennessee south of Zipcode 38579?,no
Is Zipcode 71854 adjacent to and north of Zipcode 71834?,yes
Is Zipcode 63827 adjacent to and east of Zipcode 63852?,no
Is Henry County Tennessee east of Zipcode 38226?,yes
Is Zipcode 35540 west of Zipcode 35098?,no
Is Zipcode 97402 west of Zipcode 97408?,no
Is Rock Island County Illinois adjacent to and south of Zipcode 52768?,no
Is Phillips County Colorado adjacent to and south of Zipcode 69168?,no
Is Zipcode 06856 northwest of Zipcode 06854?,no
Is Clare County Michigan north of Zipcode 48878?,yes
Is Zipcode 13678 adjacent to and west of Zipcode 13662?,no
Is Saint Joseph County Michigan adjacent to and northeast of Cass County Michigan?,no
Is Zipcode 52354 adjacent to and northwest of Zipcode 52318?,no
Is Zipcode 51063 adjacent to and southeast of Zipcode 68039?,no
Is Sandusky County Ohio northwest of Zipcode 44828?,yes
Is Zipcode 31020 adjacent to and northeast of Zipcode 31005?,yes
Is Bowie County Texas adjacent to and southeast of Zipcode 74740?,yes
Is Ventura County California adjacent to and northwest of Zipcode 91302?,yes
Is Zipcode 90210 adjacent to and west of Zipcode 90069?,yes
Is Watonwan County Minnesota east of Zipcode 56137?,yes
Is Lawrence County Pennsylvania northeast of Zipcode 44490?,no
Is Zipcode 24230 adjacent to and south of Zipcode 24269?,no
Is Zipcode 20520 east of Zipcode 20566?,yes
Is Zipcode 21557 adjacent to and north of Zipcode 26726?,no
Is Zipcode 51061 adjacent to and southwest of Zipcode 51049?,yes
Is Zipcode 92625 west of Zipcode 92651?,no
Is Zipcode 22657 adjacent to and northwest of Zipcode 22630?,no
Is Zipcode 52534 adjacent to and southwest of Zipcode 52577?,no
Is Zipcode 74114 adjacent to and east of Zipcode 74105?,no
Is Zipcode 72560 adjacent to and south of Zipcode 72519?,yes
Is Zipcode 11020 northwest of Zipcode 11040?,yes
Is LaSalle Parish Louisiana northeast of Zipcode 71409?,yes
Is Zipcode 59260 adjacent to and northeast of Zipcode 59244?,yes
Is Zipcode 54454 adjacent to and east of Zipcode 54412?,no
Is Zipcode 90717 south of Zipcode 90502?,no
Is Zipcode 52315 adjacent to and southwest of Zipcode 52206?,no
Is Zipcode 52218 adjacent to and north of Zipcode 52219?,no
Is Zipcode 32040 adjacent to and northeast of Zipcode 32072?,no
Is Zipcode 33647 adjacent to and north of Zipcode 33613?,no
Is Zipcode 26180 adjacent to and east of Zipcode 26142?,yes
Is Zipcode 14220 south of Zipcode 14206?,yes
Is The State of Idaho adjacent to and south of Zipcode 99153?,no
Is Zipcode 89166 adjacent to and northwest of Zipcode 89143?,no
Is The State of Kentucky east of Zipcode 62990?,yes
Is Zipcode 02860 adjacent to and southeast of Zipcode 02865?,yes
Is Zipcode 67864 adjacent to and west of Zipcode 67840?,yes
Is Merced County California adjacent to and southwest of Zipcode 95329?,yes
Is Zipcode 46365 adjacent to and north of Zipcode 46574?,yes
Is Zipcode 56071 adjacent to and east of Zipcode 56011?,yes
Is Zipcode 85940 adjacent to and southwest of Zipcode 85924?,no
Is Columbia County Pennsylvania adjacent to and northwest of Zipcode 17935?,yes
Is Zipcode 54113 south of Zipcode 54913?,no
Is Zipcode 16662 adjacent to and east of Zipcode 16631?,no
Is Jefferson County Georgia adjacent to and north of Emanuel County Georgia?,yes
Is Zipcode 66738 northeast of Zipcode 66769?,yes
Is Zipcode 47611 adjacent to and southeast of Zipcode 47601?,no
Is Van Wert County Ohio adjacent to and southwest of Zipcode 45827?,yes
Is Zipcode 40008 adjacent to and southwest of Zipcode 40342?,no
Is Zipcode 00966 adjacent to and north of Zipcode 00959?,no
Is Zipcode 55441 adjacent to and north of Zipcode 55426?,no
Is Zipcode 75831 adjacent to and south of Zipcode 75840?,yes
Is Zipcode 75422 adjacent to and northeast of Zipcode 75453?,no
Is Zipcode 32034 adjacent to and south of Zipcode 31558?,yes
Is Zipcode 38759 adjacent to and north of Zipcode 38771?,no
Is Charles County Maryland west of Zipcode 20609?,no
Is Zipcode 55974 adjacent to and southwest of Zipcode 55921?,no
Is Zipcode 29565 south of Zipcode 28383?,no
Is The State of Michigan north of Zipcode 53925?,no
Is Zipcode 52641 south of Zipcode 52353?,yes
Is Zipcode 71646 northeast of Zipcode 71260?,yes
Is Okeechobee County Florida adjacent to and west of Zipcode 34945?,yes
Is Otter Tail County Minnesota adjacent to and south of Zipcode 56549?,no
Is Zipcode 26508 adjacent to and southeast of Zipcode 15474?,no
Is Zipcode 48096 adjacent to and south of Zipcode 48065?,no
Is Zipcode 70816 northeast of Zipcode 70836?,yes
Is Zipcode 36316 adjacent to and southwest of Zipcode 36330?,no
Is Hampton city Virginia north of Zipcode 23505?,yes
Is Zipcode 33884 northwest of Zipcode 33853?,yes
Is The State of Missouri east of Zipcode 74365?,no
Is Marion County Tennessee southwest of Zipcode 37379?,no
Is Zipcode 35064 northeast of Zipcode 35020?,yes
Is Zipcode 43614 adjacent to and northeast of Zipcode 43537?,yes
Is Zipcode 57441 adjacent to and west of Zipcode 57449?,yes
Is Zipcode 95503 adjacent to and west of Zipcode 95549?,yes
Is Zipcode 98570 adjacent to and north of Zipcode 98542?,no
Is Zipcode 78384 adjacent to and north of Zipcode 78341?,no
Is Franklin County Idaho adjacent to and northwest of Cache County Utah?,no
Is Orocovis Municipio Puerto Rico east of Lares Municipio Puerto Rico?,yes
Is Zipcode 61722 adjacent to and west of Zipcode 61724?,no
Is Zipcode 71857 west of Zipcode 71772?,yes
Is Kings County California adjacent to and west of Zipcode 93274?,yes
Is The State of Nebraska northwest of Zipcode 51536?,no
Is Zipcode 17015 adjacent to and southwest of Zipcode 17013?,yes
Is Zipcode 14572 adjacent to and east of Zipcode 14437?,yes
Is Zipcode 08406 adjacent to and southeast of Zipcode 08232?,yes
Is Zipcode 15546 adjacent to and northwest of Zipcode 15563?,no
Is Twin Falls County Idaho adjacent to and east of Owyhee County Idaho?,yes
Is Zipcode 15022 northeast of Zipcode 15427?,yes
Is Baca County Colorado adjacent to and east of Union County New Mexico?,no
Is Zipcode 79930 northwest of Zipcode 79905?,yes
Is Zipcode 00780 adjacent to and east of Zipcode 00730?,no
Is Zipcode 16063 adjacent to and southwest of Zipcode 16037?,no
Is Zipcode 41572 adjacent to and northeast of Zipcode 41835?,no
Is Massac County Illinois west of Zipcode 42028?,yes
Is Zipcode 75803 adjacent to and southeast of Zipcode 75853?,yes
Is Harlan County Kentucky adjacent to and northwest of Zipcode 24216?,no
Is Zipcode 79745 west of Zipcode 79741?,yes
Is Zipcode 65020 southwest of Zipcode 65049?,yes
Is Kitsap County Washington east of Zipcode 98524?,no
Is Zipcode 14606 adjacent to and northwest of Zipcode 14613?,no
Is Zipcode 22305 adjacent to and northeast of Zipcode 22206?,no
Is Cherokee County North Carolina adjacent to and east of Fannin County Georgia?,no
Is Zipcode 75662 adjacent to and east of Zipcode 75705?,yes
Is Zipcode 30259 south of Zipcode 30289?,no
Is Zipcode 75943 adjacent to and northwest of Zipcode 75964?,no
Is Zipcode 12025 adjacent to and northwest of Zipcode 12074?,no
Is Hot Springs County Wyoming adjacent to and east of Zipcode 82433?,no
Is Zipcode 70427 adjacent to and northwest of Zipcode 70463?,no
Is Trinity County Texas adjacent to and northwest of Zipcode 77351?,yes
Is Zipcode 01360 adjacent to and west of Zipcode 03470?,no
Is Zipcode 37128 adjacent to and west of Zipcode 37127?,yes
Is Zipcode 04654 northeast of Zipcode 04658?,yes
Is Nassau County New York west of Zipcode 11704?,yes
Is Middlesex County Virginia northwest of Zipcode 23398?,no
Is Washington County Utah adjacent to and west of Zipcode 86022?,no
Is Whitman County Washington adjacent to and northwest of Asotin County Washington?,yes
Is Zipcode 41265 adjacent to and north of Zipcode 41653?,no
Is Zipcode 06820 southwest of Zipcode 06856?,yes
Is District of Columbia District of Columbia southwest of Zipcode 20903?,no
Is Zipcode 57301 adjacent to and southwest of Zipcode 57311?,no
Is Zipcode 01060 adjacent to and west of Zipcode 01035?,no
Is Zipcode 00693 adjacent to and northwest of Zipcode 00687?,no
Is Zipcode 31405 adjacent to and northwest of Zipcode 31406?,yes
Is Zipcode 74650 southwest of Zipcode 74056?,yes
Is Zipcode 75124 adjacent to and southeast of Zipcode 75147?,yes
Is Zipcode 35756 adjacent to and northwest of Zipcode 35670?,yes
Is Zipcode 80205 adjacent to and southeast of Zipcode 80216?,no
Is Zipcode 54014 adjacent to and west of Zipcode 54011?,no
Is Zipcode 25868 adjacent to and southeast of Zipcode 25854?,no
Is Zipcode 44841 adjacent to and northwest of Zipcode 44883?,yes
Is Zipcode 60929 adjacent to and east of Zipcode 60934?,no
Is Zipcode 85614 adjacent to and northeast of Zipcode 85622?,no
Is Zipcode 85140 south of Zipcode 85119?,yes
Is Marion County Indiana adjacent to and northwest of Hancock County Indiana?,no
Is Warren County Ohio west of Zipcode 45307?,yes
Is Zipcode 45406 adjacent to and north of Zipcode 45417?,no
Is Clinton County Illinois northwest of Zipcode 62877?,yes
Is Zipcode 31094 adjacent to and southwest of Zipcode 30803?,no
Is Zipcode 11795 adjacent to and east of Zipcode 11704?,yes
Is Zipcode 38464 adjacent to and south of Zipcode 38462?,no
Is Zipcode 98612 adjacent to and northeast of Zipcode 97016?,no
Is Zipcode 27818 adjacent to and southeast of Zipcode 23851?,no
Is Zipcode 78758 adjacent to and east of Zipcode 78757?,no
Is Zipcode 50468 adjacent to and southwest of Zipcode 50435?,yes
Is Zipcode 90293 adjacent to and southeast of Zipcode 90292?,no
Is Hartford County Connecticut southwest of Worcester County Massachusetts?,yes
Is Kanawha County West Virginia north of Zipcode 25051?,no
Is Zipcode 34287 adjacent to and southeast of Zipcode 34292?,yes
Is Zipcode 30032 southeast of Zipcode 30307?,yes
Is Hart County Georgia adjacent to and southwest of Zipcode 29689?,yes
Is Zipcode 30168 northeast of Zipcode 30134?,no
Is Zipcode 61279 northwest of Zipcode 61263?,yes
Is Yazoo County Mississippi adjacent to and southeast of Sharkey County Mississippi?,no
Is Freestone County Texas north of Zipcode 76653?,no
Is Newport County Rhode Island southeast of New London County Connecticut?,no
Is Yell County Arkansas adjacent to and south of Zipcode 72858?,no
Is Angelina County Texas adjacent to and southeast of Cherokee County Texas?,yes
Is Zipcode 15234 northeast of Zipcode 15241?,yes
Is The State of Texas southwest of Zipcode 74560?,yes
Is Zipcode 47959 adjacent to and northwest of Zipcode 47960?,yes
Is Zipcode 28646 adjacent to and west of Zipcode 28605?,yes
Is Zipcode 48890 adjacent to and east of Zipcode 48849?,yes
Is Winona County Minnesota adjacent to and northeast of Olmsted County Minnesota?,no
Is Gogebic County Michigan west of Zipcode 49960?,yes
Is Chaves County New Mexico adjacent to and east of Zipcode 88317?,yes
Is Leslie County Kentucky northwest of Zipcode 40847?,yes
Is Zipcode 99009 adjacent to and northwest of Zipcode 99003?,no
Is Zipcode 97753 adjacent to and northwest of Zipcode 97754?,no
Is Schuyler County New York west of Zipcode 13092?,no
Is Iowa County Wisconsin southeast of Zipcode 53813?,no
Is Zipcode 61760 northwest of Zipcode 61744?,yes
Is Dearborn County Indiana adjacent to and north of Zipcode 41080?,no
Is Zipcode 90755 adjacent to and northeast of Zipcode 90806?,no
Is Shelby County Ohio east of Zipcode 45362?,yes
Is Dutchess County New York east of Zipcode 12429?,yes
Is Zipcode 54861 northwest of Zipcode 54559?,yes
Is Zipcode 50249 adjacent to and south of Zipcode 50557?,no
Is Wexford County Michigan adjacent to and west of Zipcode 49657?,yes
Is Zipcode 98946 adjacent to and southwest of Zipcode 98926?,no
Is Zipcode 99516 west of Zipcode 99693?,yes
Is Zipcode 76569 southeast of Zipcode 76502?,yes
Is Zipcode 14505 adjacent to and southeast of Zipcode 14568?,no
Is Zipcode 65459 south of Zipcode 65013?,no
Is Zipcode 08610 adjacent to and southwest of Zipcode 08690?,yes
Is Franklin County Pennsylvania adjacent to and northwest of Adams County Pennsylvania?,no
Is Polk County Nebraska adjacent to and west of Seward County Nebraska?,no
Is Randolph County Arkansas northeast of Zipcode 72458?,yes
Is Zipcode 85533 adjacent to and northwest of Zipcode 88039?,no
Is Columbia County New York adjacent to and west of Zipcode 01230?,yes
Is San Juan County New Mexico adjacent to and south of Zipcode 81326?,yes
Is Zipcode 95140 southwest of Zipcode 95360?,no
Is Zipcode 92586 adjacent to and southwest of Zipcode 92585?,yes
Is Zipcode 78616 adjacent to and southwest of Zipcode 78953?,no
Is Zipcode 46721 adjacent to and east of Zipcode 46793?,yes
Is Zipcode 22932 south of Zipcode 22935?,no
Is The State of Minnesota adjacent to and northeast of Zipcode 51241?,yes
Is Elmore County Alabama adjacent to and northwest of Macon County Alabama?,yes
Is Zipcode 30222 northwest of Zipcode 31816?,yes
Is Zipcode 95960 southwest of Zipcode 95986?,no
Is Zipcode 61866 adjacent to and south of Zipcode 60957?,yes
Is Zipcode 66512 adjacent to and northeast of Zipcode 66617?,yes
Is Zipcode 31565 adjacent to and northwest of Zipcode 31558?,yes
Is Lawrence County South Dakota north of Zipcode 57703?,no
Is Polk County Florida southeast of Zipcode 33584?,no
Is The State of Maryland adjacent to and north of The State of Virginia?,no
Is Zipcode 93202 adjacent to and northeast of Zipcode 93245?,no
Is Zipcode 41004 adjacent to and northeast of Zipcode 41031?,yes
Is Zipcode 53402 adjacent to and north of Zipcode 53406?,no
Is Zipcode 15239 adjacent to and east of Zipcode 15147?,yes
Is Okmulgee County Oklahoma adjacent to and northeast of Okfuskee County Oklahoma?,yes
Is Zipcode 13026 adjacent to and southwest of Zipcode 13147?,no
Is Zipcode 90021 southeast of Zipcode 90089?,no
Is Zipcode 80305 adjacent to and north of Zipcode 80025?,no
Is The State of New York northwest of Zipcode 06066?,no
Is Zipcode 73027 adjacent to and west of Zipcode 74059?,yes
Is Greene County New York southeast of Zipcode 12147?,no
Is Zipcode 54001 adjacent to and northwest of Zipcode 54005?,yes
Is Zipcode 08054 adjacent to and west of Zipcode 08055?,no
Is Mora County New Mexico adjacent to and northwest of Zipcode 87701?,no
Is Trinity County Texas adjacent to and southwest of Zipcode 75939?,no
Is Des Moines County Iowa northeast of Zipcode 62330?,no
Is Zipcode 33637 adjacent to and northwest of Zipcode 33584?,yes
Is Zipcode 07043 adjacent to and east of Zipcode 07042?,no
Is Zipcode 64779 adjacent to and northwest of Zipcode 64783?,no
Is Zipcode 54896 adjacent to and northwest of Zipcode 54552?,no
Is Kershaw County South Carolina north of Zipcode 29046?,no
Is Zipcode 90032 adjacent to and northwest of Zipcode 91803?,no
Is Zipcode 52573 adjacent to and southwest of Zipcode 52620?,yes
Is Zipcode 40070 west of Zipcode 40019?,no
Is Zipcode 70441 adjacent to and north of Zipcode 70422?,no
Is Río Grande Municipio Puerto Rico northeast of Guaynabo Municipio Puerto Rico?,no
Is Union County Mississippi east of Zipcode 38685?,yes
Is Morgan County Kentucky southwest of Zipcode 41164?,no
Is Klamath County Oregon adjacent to and northwest of The State of California?,no
Is Nassau County New York east of Zipcode 11220?,yes
Is Loudoun County Virginia north of Zipcode 22030?,no
Is Zipcode 96104 southeast of Zipcode 96108?,yes
Is Zipcode 18938 adjacent to and north of Zipcode 18912?,no
Is Zipcode 67738 adjacent to and south of Zipcode 67740?,no
Is Zipcode 83702 adjacent to and south of Zipcode 83714?,no
Is Zipcode 00624 adjacent to and west of Zipcode 00731?,yes
Is Zipcode 36569 adjacent to and northwest of Zipcode 36585?,no
Is Saint Joseph County Michigan adjacent to and north of Zipcode 46565?,yes
Is Dearborn County Indiana adjacent to and southwest of Zipcode 45053?,yes
Is Montgomery County Maryland adjacent to and northwest of District of Columbia District of Columbia?,yes
Is West Baton Rouge Parish Louisiana west of Zipcode 70706?,yes
Is Zipcode 55707 adjacent to and east of Zipcode 55757?,yes
Is Zipcode 80449 adjacent to and north of Zipcode 81201?,no
Is Zipcode 94505 adjacent to and southwest of Zipcode 95206?,no
Is Breckinridge County Kentucky northwest of Zipcode 42726?,yes
Is Zipcode 74647 south of Zipcode 67140?,no
Is Zipcode 70085 northeast of Zipcode 70040?,yes
Is Anoka County Minnesota adjacent to and east of Sherburne County Minnesota?,yes
Is Mecosta County Michigan adjacent to and southwest of Zipcode 48632?,yes
Is Zipcode 34104 adjacent to and east of Zipcode 34102?,yes
Is Zipcode 39897 northeast of Zipcode 39815?,yes
Is Zipcode 78613 southwest of Zipcode 78628?,yes
Is Zipcode 48073 adjacent to and west of Zipcode 48071?,yes
Is Zipcode 24817 east of Zipcode 24614?,yes
Is Zipcode 19056 north of Zipcode 08016?,no
Is Zipcode 22556 adjacent to and north of Zipcode 22406?,no
Is Zipcode 67041 adjacent to and southeast of Zipcode 67114?,no
Is Zipcode 26408 adjacent to and south of Zipcode 26330?,no
Is Zipcode 30504 southeast of Zipcode 30534?,yes
Is Knox County Tennessee east of Morgan County Tennessee?,yes
Is New Castle County Delaware west of Zipcode 08097?,no
Is Zipcode 13365 southeast of Zipcode 13438?,yes
Is Zipcode 37060 adjacent to and northwest of Zipcode 37153?,no
Is Zipcode 33772 east of Zipcode 33774?,no
Is Zipcode 75134 southwest of Zipcode 75217?,yes
Is Duval County Florida adjacent to and west of Zipcode 32081?,no
Is Zipcode 31309 adjacent to and west of Zipcode 31320?,no
Is Fairfax County Virginia west of Zipcode 20319?,yes
Is Mills County Iowa adjacent to and north of Fremont County Iowa?,yes
Is Zipcode 35501 adjacent to and southeast of Zipcode 35578?,yes
Is Falls County Texas adjacent to and northwest of Robertson County Texas?,yes
Is Zipcode 37208 adjacent to and southwest of Zipcode 37207?,yes
Is Boone County Kentucky southwest of Zipcode 45207?,yes
Is Zipcode 50532 adjacent to and southeast of Zipcode 50501?,no
Is Zipcode 18434 adjacent to and east of Zipcode 18452?,no
Is Zipcode 15658 adjacent to and west of Zipcode 15655?,no
Is Zipcode 28103 south of Zipcode 28128?,no
Is The State of Nevada northwest of Zipcode 92389?,no
Is The State of Missouri northwest of Zipcode 72416?,yes
